Respondent,Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,HopeFiveYears,JobSearchStatus,LastNewJob,UpdateCV,Currency,Salary,SalaryType,ConvertedSalary,CurrencySymbol,CommunicationTools,TimeFullyProductive,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,HackathonReasons,AgreeDisagree1,AgreeDisagree2,AgreeDisagree3,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,FrameworkWorkedWith,FrameworkDesireNextYear,IDE,OperatingSystem,NumberMonitors,Methodology,VersionControl,CheckInCode,AdBlocker,AdBlockerDisable,AdBlockerReasons,AdsAgreeDisagree1,AdsAgreeDisagree2,AdsAgreeDisagree3,AdsActions,AdsPriorities1,AdsPriorities2,AdsPriorities3,AdsPriorities4,AdsPriorities5,AdsPriorities6,AdsPriorities7,AIDangerous,AIInteresting,AIResponsible,AIFuture,EthicsChoice,EthicsReport,EthicsResponsible,EthicalImplications,StackOverflowRecommend,StackOverflowVisit,StackOverflowHasAccount,StackOverflowParticipate,StackOverflowJobs,StackOverflowDevStory,StackOverflowJobsRecommend,StackOverflowConsiderMember,HypotheticalTools1,HypotheticalTools2,HypotheticalTools3,HypotheticalTools4,HypotheticalTools5,WakeTime,HoursComputer,HoursOutside,SkipMeals,ErgonomicDevices,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Age,Dependents,MilitaryUS,SurveyTooLong,SurveyEasy
2757,Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",Full-stack developer,3-5 years,0-2 years,Extremely satisfied,Extremely satisfied,Working in a different or more specialized technical role than the one I'm in now,I am not interested in new job opportunities,Less than a year ago,My job status or other personal status changed,U.S. dollars ($),95000,Yearly,95000,USD,"Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To build my professional network;Because I find it enjoyable",Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,C;Java;JavaScript;PHP;Python,JavaScript;Python,MongoDB;SQL Server;MySQL;PostgreSQL;Elasticsearch,NA,Amazon Echo,Amazon Echo;Android;Google Home;iOS;Raspberry Pi,React,Django;React,Atom;Emacs;PHPStorm,MacOS,3,Agile,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content;The ad-blocking software was causing display issues on a website;The website I was visiting asked me to disable it;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Somewhat agree,Neither agree nor disagree,Saw an online advertisement and then researched it (without clicking on the ad);Paid to access a website advertisement-free,1,5,4,3,2,6,7,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,NA,"I don't care about it, or I haven't thought about it.",No,Depends on what it is,The person who came up with the idea,Yes,9,Daily or almost daily,Yes,A few times per month or weekly,Yes,"No, and I don't know what that is",6,I'm not sure,Very interested,Somewhat interested,Somewhat interested,Very interested,Very interested,Between 6:01 - 7:00 AM,9 - 12 hours,1 - 2 hours,Never,Standing desk,1 - 2 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,35 - 44 years old,No,No,The survey was an appropriate length,Somewhat easy
2761,Yes,Yes,Romania,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer,6-8 years,3-5 years,Moderately satisfied,Extremely satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,I received bad news about the future of my company or department,Euros (€),2500,Monthly,36720,EUR,"Confluence;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",NA,To improve my general technical skills or programming ability;Because I find it enjoyable,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,C;C++;C#;Java;JavaScript;Lua;Python;HTML;CSS;Bash/Shell,C;C++;C#;JavaScript;Python;TypeScript;Bash/Shell,MySQL,MongoDB;MySQL,Android;Gaming console;iOS;Linux;Mac OS;Windows Desktop or Server,Android;Arduino;iOS;Linux;Mac OS;Windows Desktop or Server,.NET Core,.NET Core,Eclipse;Notepad++;Sublime Text;Visual Studio;Visual Studio Code,Linux-based,2,Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka “waterfall” methodologies);Kanban;Lean;Scrum,Git,Multiple times per day,Yes,Yes,I wanted to support the website I was visiting by viewing their ads,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Stopped going to a website because of their advertising,1,6,4,2,3,7,5,Algorithms making important decisions,Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,The person who came up with the idea,Yes,10 (Very Likely),Daily or almost daily,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,Yes,Somewhat interested,Very interested,Extremely interested,Extremely interested,Extremely interested,Between 8:01 - 9:00 AM,5 - 8 hours,1 - 2 hours,Never,Ergonomic keyboard or mouse;Wrist/hand supports or braces,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,NA,The survey was an appropriate length,Very easy
2762,Yes,No,Austria,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",I never declared a major,"1,000 to 4,999 employees",Back-end developer,12-14 years,3-5 years,Extremely satisfied,Extremely satisfied,Working in a different or more specialized technical role than the one I'm in now,I am not interested in new job opportunities,Between 1 and 2 years ago,My job status or other personal status changed,Euros (€),1952,Monthly,28668,EUR,"Facebook;Office / productivity suite (Microsoft Office, Google Suite, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;Because I find it enjoyable",Agree,Disagree,Neither Agree nor Disagree,C#;JavaScript;SQL;HTML;CSS,C++;C#;Python;Bash/Shell,SQL Server,MongoDB;Redis;SQL Server;Elasticsearch,Google Cloud Platform/App Engine;Windows Desktop or Server,Google Cloud Platform/App Engine;Windows Desktop or Server,.NET Core,.NET Core;React;TensorFlow,Notepad++;Sublime Text;Visual Studio;Visual Studio Code,Windows,2,Agile;Kanban;Scrum,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content,Neither agree nor disagree,Somewhat agree,Somewhat agree,Stopped going to a website because of their advertising,2,4,5,3,1,7,6,"Artificial intelligence surpassing human intelligence (""the singularity"")","Evolving definitions of ""fairness"" in algorithmic versus human decisions",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,Depends on what it is,Depends on what it is,Upper management at the company/organization,Unsure / I don't know,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,No,A little bit interested,Somewhat interested,Somewhat interested,A little bit interested,Not at all interested,Between 8:01 - 9:00 AM,Over 12 hours,Less than 30 minutes,Never,NA,I don't typically exercise,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,25 - 34 years old,No,NA,The survey was an appropriate length,Somewhat easy
2763,Yes,No,Philippines,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist,12-14 years,0-2 years,Extremely satisfied,Moderately satisfied,Working in a career completely unrelated to software development,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,My job status or other personal status changed,NA,560000,NA,NA,NA,NA,One to three months,Taken a part-time in-person course in programming or software development,NA,NA,NA,Neither Agree nor Disagree,Disagree,Strongly agree,PHP;R;SQL;VBA;VB.NET;Visual Basic 6;HTML,PHP;Python;R;SQL;VBA;VB.NET;Visual Basic 6;HTML,SQL Server;MySQL,SQL Server;MySQL,SharePoint,NA,NA,NA,Notepad++;RStudio;Visual Studio,Windows,2,Agile;Kanban;Lean,I don't use version control,NA,I'm not sure/I don't know,NA,NA,Strongly agree,Strongly agree,Somewhat agree,Saw an online advertisement and then researched it (without clicking on the ad),5,6,3,2,1,7,4,NA,NA,NA,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,0 (Not Likely),A few times per week,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",NA,I'm not sure,A little bit interested,Somewhat interested,A little bit interested,Not at all interested,Not at all interested,After 12:01 PM,9 - 12 hours,1 - 2 hours,Never,NA,Daily or almost every day,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",NA,35 - 44 years old,Yes,NA,The survey was too long,Somewhat easy
2765,Yes,No,United States,No,Employed full-time,Some college/university study without earning a degree,I never declared a major,10 to 19 employees,Database administrator;Desktop or enterprise applications developer;System administrator,30 or more years,27-29 years,Extremely satisfied,Extremely satisfied,Doing the same work,I am not interested in new job opportunities,More than 4 years ago,My job status or other personal status changed,U.S. dollars ($),106000,Yearly,106000,USD,"Other chat system (IRC, proprietary software, etc.)",Six to nine months,"Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;The technology’s online help system",NA,NA,Agree,Agree,Neither Agree nor Disagree,JavaScript;SQL;Delphi/Object Pascal;HTML;CSS,JavaScript;SQL;Delphi/Object Pascal;HTML;CSS,SQL Server;MySQL,SQL Server;MySQL;SQLite,Windows Desktop or Server,Windows Desktop or Server,NA,NA,NA,Windows,2,NA,Subversion,Multiple times per day,No,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Clicked on an online advertisement,1,2,3,7,4,6,5,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,A governmental or other regulatory body,I'm worried about the dangers more than I'm excited about the possibilities.,No,Depends on what it is,The developer who wrote it,Yes,8,Daily or almost daily,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I know what it is but I don't have one",NA,No,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Between 5:00 - 6:00 AM,9 - 12 hours,Less than 30 minutes,Never,Standing desk;Fatigue-relieving floor mat,I don't typically exercise,Male,Straight or heterosexual,Associate degree,White or of European descent,45 - 54 years old,No,No,The survey was an appropriate length,Very easy
2768,Yes,Yes,Germany,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Back-end developer;Database administrator;Full-stack developer;System administrator,21-23 years,21-23 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",More than 4 years ago,I received negative feedback on my job performance,Euros (€),90000,Yearly,110149,EUR,NA,One to three months,"Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",NA,Because I find it enjoyable,Strongly agree,Strongly disagree,Strongly disagree,C#;F#;SQL,Haskell;JavaScript,SQL Server;Oracle,NA,Linux;Mac OS;Windows Desktop or Server,NA,.NET Core,NA,Sublime Text;Visual Studio;Visual Studio Code,Windows,2,Agile,Git,Multiple times per day,Yes,Yes,The website I was visiting forced me to disable it to access their content,Somewhat agree,Somewhat agree,Somewhat disagree,Stopped going to a website because of their advertising,2,5,7,1,3,4,6,Algorithms making important decisions,Algorithms making important decisions,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,Upper management at the company/organization,Yes,10 (Very Likely),A few times per month or weekly,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, and I don't know what that is",NA,Yes,Somewhat interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Between 7:01 - 8:00 AM,5 - 8 hours,1 - 2 hours,Never,NA,Daily or almost every day,Male,Straight or heterosexual,Primary/elementary school,White or of European descent,45 - 54 years old,No,NA,The survey was too long,Somewhat difficult
2772,Yes,No,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer,6-8 years,0-2 years,Extremely satisfied,Extremely satisfied,Working in a different or more specialized technical role than the one I'm in now,I am not interested in new job opportunities,Less than a year ago,My job status or other personal status changed,Indian rupees (₹),800000,Yearly,12524,INR,"Confluence;Office / productivity suite (Microsoft Office, Google Suite, etc.);Trello",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","A book or e-book from O’Reilly, Apress, or a similar publisher",NA,To improve my general technical skills or programming ability;Because I find it enjoyable,Strongly agree,Disagree,Agree,C;C++;C#;JavaScript;Python;HTML;CSS,C#;CoffeeScript;JavaScript;Python;TypeScript;HTML;CSS,MongoDB;SQL Server;MySQL;Oracle;IBM Db2;Elasticsearch,MongoDB;SQL Server;MySQL;Elasticsearch,Android;Arduino;Heroku;Windows Desktop or Server,Arduino;Heroku;Raspberry Pi;Windows Desktop or Server,Node.js;Cordova,Angular;.NET Core;Django;Node.js;Cordova,PyCharm;Sublime Text;Visual Studio;Visual Studio Code,Windows,2,Agile;Scrum,Git;Team Foundation Version Control,A few times per week,Yes,Yes,The website I was visiting forced me to disable it to access their content;The website I was visiting asked me to disable it,Strongly agree,Somewhat agree,Somewhat disagree,Clicked on an online advertisement,5,2,4,1,6,3,7,"Artificial intelligence surpassing human intelligence (""the singularity"")",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,The developer who wrote it,Yes,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,Yes,"No, I know what it is but I don't have one",10 (Very Likely),Yes,Extremely interested,Not at all interested,Somewhat interested,Very interested,Somewhat interested,Between 7:01 - 8:00 AM,Over 12 hours,1 - 2 hours,Never,NA,Daily or almost every day,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",South Asian,18 - 24 years old,No,NA,The survey was too long,Very easy
2775,Yes,No,Romania,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration","10,000 or more employees",Back-end developer,3-5 years,3-5 years,Moderately satisfied,Moderately satisfied,Working as a founder or co-founder of my own company,I am not interested in new job opportunities,Less than a year ago,I did not receive an expected change in compensation,NA,NA,NA,NA,NA,"Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Taken an online course in programming or software development (e.g. a MOOC);Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher",NA,NA,Agree,Disagree,Strongly disagree,C++;Java;SQL;Swift;HTML,Java,MySQL;PostgreSQL;SQLite;Oracle,Oracle,Android;Firebase,NA,Spring,NA,IntelliJ;Notepad++,Windows,2,Agile;Kanban;Pair programming,Git,Multiple times per day,Yes,Yes,I wanted to support the website I was visiting by viewing their ads,Somewhat disagree,Strongly agree,Somewhat disagree,NA,NA,NA,NA,NA,NA,NA,NA,Increasing automation of jobs,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Prominent industry leaders,I'm worried about the dangers more than I'm excited about the possibilities.,No,"Yes, and publicly",Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,Less than once per month or monthly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I have one but it's out of date",NA,Yes,Somewhat interested,Not at all interested,Somewhat interested,Extremely interested,Extremely interested,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,Never,NA,I don't typically exercise,Male,Straight or heterosexual,Some college/university study without earning a degree,White or of European descent,25 - 34 years old,No,NA,The survey was too long,Neither easy nor difficult
2778,Yes,Yes,India,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data or business analyst;Designer;Front-end developer;Full-stack developer;QA or test developer,3-5 years,3-5 years,Slightly satisfied,Moderately satisfied,Working as a product manager or project manager,"I’m not actively looking, but I am open to new opportunities",Between 1 and 2 years ago,NA,Indian rupees (₹),NA,Monthly,NA,INR,"Facebook;Google Hangouts/Chat;Office / productivity suite (Microsoft Office, Google Suite, etc.);Stack Overflow Enterprise;Trello;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Three to six months,"Taught yourself a new language, framework, or tool without taking a formal course",NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,JavaScript;PHP;SQL;HTML;CSS,JavaScript;PHP;SQL;TypeScript;HTML;CSS,SQL Server;MySQL;MariaDB,MongoDB;SQL Server;MySQL;MariaDB,AWS;Windows Desktop or Server;WordPress;Firebase,AWS;Heroku;Firebase,Angular,Angular;Node.js;React,Atom;NetBeans;Sublime Text,Windows,1,Agile;Scrum,Git;Zip file back-ups,A few times per week,Yes,I'm not sure/I can't remember,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,A few times per week,Yes,A few times per month or weekly,"No, I knew that Stack Overflow had a jobs board but have never used or visited it","No, I have one but it's out of date",NA,Yes,Not at all interested,A little bit interested,Somewhat interested,Extremely interested,Somewhat interested,Between 8:01 - 9:00 AM,9 - 12 hours,1 - 2 hours,1 - 2 times per week,Ergonomic keyboard or mouse,1 - 2 times per week,NA,NA,NA,NA,NA,NA,NA,NA,NA
2780,Yes,No,India,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Full-stack developer,6-8 years,3-5 years,Moderately satisfied,Moderately satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,I did not receive an expected change in compensation,Indian rupees (₹),1100000,Yearly,17220,INR,"Confluence;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",Less than a month,"Taken an online course in programming or software development (e.g. a MOOC);Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,NA,To improve my general technical skills or programming ability;Because I find it enjoyable,Agree,Disagree,Strongly disagree,Ruby;TypeScript,TypeScript,MySQL,MySQL,Linux;Mac OS,Linux;Mac OS,Angular;Node.js,Angular;Node.js,Sublime Text;Visual Studio Code,MacOS,1,Agile,Git,Once a day,Yes,Yes,The website I was visiting forced me to disable it to access their content,Strongly agree,Strongly disagree,Neither agree nor disagree,Stopped going to a website because of their advertising,3,1,6,2,4,7,5,Algorithms making important decisions,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,10 (Very Likely),Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, I didn't know that Stack Overflow had a jobs board","No, and I don't know what that is",NA,Yes,Extremely interested,Not at all interested,Extremely interested,Extremely interested,Extremely interested,Between 6:01 - 7:00 AM,9 - 12 hours,1 - 2 hours,Never,NA,Daily or almost every day,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",South Asian,25 - 34 years old,Yes,NA,The survey was too long,Somewhat difficult
2782,Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Data scientist or machine learning specialist,15-17 years,3-5 years,Extremely satisfied,Extremely satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,I had a negative experience or interaction at work,U.S. dollars ($),135000,Yearly,135000,USD,"Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Slack;Other wiki tool (Github, Google Sites, proprietary software, etc.)",One to three months,"Taken an online course in programming or software development (e.g. a MOOC);Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",NA,To build my professional network;Because I find it enjoyable,Strongly agree,Agree,Disagree,C;C++;Go;Haskell;JavaScript;Matlab;Python;Rust;Swift;TypeScript;HTML;CSS;Bash/Shell,NA,Cassandra;MongoDB;Redis;SQL Server;MySQL;PostgreSQL;SQLite;IBM Db2,Amazon DynamoDB;Apache Hive;Elasticsearch,Android;Arduino;AWS;IBM Cloud or Watson;iOS;Linux;Mac OS;Raspberry Pi;Windows Desktop or Server,NA,Angular;Node.js;React;TensorFlow;Torch/PyTorch,Spark,IPython / Jupyter;Vim;Visual Studio Code;Xcode,MacOS,3,Agile;Kanban;Scrum,Git,Multiple times per day,No,NA,NA,Somewhat agree,Somewhat agree,Somewhat disagree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising;Paid to access a website advertisement-free,NA,NA,NA,NA,NA,NA,NA,Increasing automation of jobs,Increasing automation of jobs,A governmental or other regulatory body,I'm excited about the possibilities more than worried about the dangers.,No,"Yes, but only within the company",Upper management at the company/organization,Yes,9,A few times per week,Yes,A few times per month or weekly,Yes,"No, I have one but it's out of date",9,Yes,Very interested,A little bit interested,Very interested,Very interested,Very interested,Between 7:01 - 8:00 AM,9 - 12 hours,1 - 2 hours,3 - 4 times per week,Standing desk;Fatigue-relieving floor mat,1 - 2 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,25 - 34 years old,No,No,The survey was too long,Somewhat easy
2783,Yes,No,Madagascar,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration",100 to 499 employees,Back-end developer;Embedded applications or devices developer;Engineering manager;Front-end developer;Full-stack developer,9-11 years,6-8 years,Slightly satisfied,Slightly satisfied,Working as a founder or co-founder of my own company,I am actively looking for a job,Between 1 and 2 years ago,I saw an employer’s advertisement,Euros (€),NA,NA,NA,NA,Jira;Stack Overflow Enterprise,Less than a month,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2784,Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Data scientist or machine learning specialist;DevOps specialist;Engineering manager;Full-stack developer;QA or test developer;System administrator,18-20 years,12-14 years,Extremely satisfied,Extremely satisfied,Working in a different or more specialized technical role than the one I'm in now,"I’m not actively looking, but I am open to new opportunities",Less than a year ago,A recruiter contacted me,U.S. dollars ($),115000,NA,115000,USD,"Confluence;Jira;Office / productivity suite (Microsoft Office, Google Suite, etc.);Other chat system (IRC, proprietary software, etc.);Other wiki tool (Github, Google Sites, proprietary software, etc.)",Three to six months,"Taken an online course in programming or software development (e.g. a MOOC);Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology",NA,"To improve my general technical skills or programming ability;To improve my knowledge of a specific programming language, framework, or other technology;To improve my ability to work on a team with other programmers;To build my professional network;Because I find it enjoyable",Agree,Agree,Neither Agree nor Disagree,Java;Python;Scala;SQL;Bash/Shell,Haskell;Python;Scala,Apache HBase;Apache Hive,MySQL;Apache HBase;Apache Hive,Linux,AWS;Linux,Hadoop;Spark,Hadoop;Spark,IntelliJ;PyCharm;Sublime Text;Vim,Linux-based,2,Agile;Kanban;Pair programming;Scrum,Git,Multiple times per day,Yes,Yes,The ad-blocking software was causing display issues on a website;I wanted to support the website I was visiting by viewing their ads,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Saw an online advertisement and then researched it (without clicking on the ad);Stopped going to a website because of their advertising;Paid to access a website advertisement-free,3,1,2,4,5,7,6,"Evolving definitions of ""fairness"" in algorithmic versus human decisions",Increasing automation of jobs,The developers or the people creating the AI,I'm excited about the possibilities more than worried about the dangers.,No,Depends on what it is,The developer who wrote it,Yes,10 (Very Likely),Daily or almost daily,Yes,Less than once per month or monthly,Yes,"No, I have one but it's out of date",0 (Not Likely),I'm not sure,Somewhat interested,Somewhat interested,Very interested,Extremely interested,Extremely interested,Between 7:01 - 8:00 AM,9 - 12 hours,30 - 59 minutes,Never,Standing desk;Ergonomic keyboard or mouse,1 - 2 times per week,Male,Straight or heterosexual,"Professional degree (JD, MD, etc.)",White or of European descent,25 - 34 years old,No,No,The survey was an appropriate length,Very easy
